"VARIANT_NAME","DATA_BASE","DATA_BASE_REC_ID","GENDER","TISSUE","HEALTH_STATE","SAMPLE_SOURCE","AGE_MIN","AGE_MAX","SAMPLE_COUNT","TOTAL_COUNT","RATIO","NORM_VALUE","UNIT"
CYP3A4,NISHIMURA et al.,2003,Adrenal gland,UNSPECIFIED,ADRENAL GLAND,UNSPECIFIED,UNSPECIFIED,17,72,0.00731,1,0.00731,0.692938126159438,RT-PCR
CYP3A4,NISHIMURA et al.,2003,Brain,MALE,BRAIN,UNSPECIFIED,UNSPECIFIED,28,28,0.00535,1,0.00535,0.50714349862558,RT-PCR
CYP3A4,NISHIMURA et al.,2003,Fetal liver,UNSPECIFIED,FETAL LIVER,UNSPECIFIED,UNSPECIFIED,-0.425,0,0.247,1,0.247,23.4139147963586,RT-PCR
CYP3A4,NISHIMURA et al.,2003,Kidney,UNSPECIFIED,KIDNEY,UNSPECIFIED,UNSPECIFIED,24,55,0.00688,1,0.00688,0.652177059914765,RT-PCR
CYP3A4,NISHIMURA et al.,2003,Lung,UNSPECIFIED,LUNG,UNSPECIFIED,UNSPECIFIED,14,40,0.000548,1,0.000548,0.0519466611676295,RT-PCR
CYP3A4,NISHIMURA et al.,2003,Placenta,FEMALE,PLACENTA,UNSPECIFIED,UNSPECIFIED,23,31,9.4E-05,1,9.4E-05,0.0089105586674401,RT-PCR
CYP3A4,NISHIMURA et al.,2003,Prostate,MALE,PROSTATE,UNSPECIFIED,UNSPECIFIED,14,50,0.00138,1,0.00138,0.130814584692206,RT-PCR
CYP3A4,NISHIMURA et al.,2003,Small intestine,UNSPECIFIED,SMALL INTESTINE,UNSPECIFIED,UNSPECIFIED,15,60,0.0934,1,0.0934,8.85368276105219,RT-PCR
CYP3A4,NISHIMURA et al.,2003,Testis ,MALE,GONADS,UNSPECIFIED,UNSPECIFIED,17,61,0.00101,1,0.00101,0.0957411090863245,RT-PCR
CYP3A4,NISHIMURA et al.,2003,Uterus ,FEMALE,UTERUS,UNSPECIFIED,UNSPECIFIED,15,77,4.2E-05,1,4.2E-05,0.00398131344715409,RT-PCR
CYP3A4,NISHIMURA et al.,2003,liver,UNSPECIFIED,LIVER,UNSPECIFIED,UNSPECIFIED,15,35,2.32,1,2.32,219.920171366607,RT-PCR
Hs.654391,E-GEOD-2361,TP_Adrenal_U133A,UNSPECIFIED,ADRENAL GLAND,UNSPECIFIED,UNSPECIFIED,15,61,80.9,2288961.52620001,3.53435385758996E-05,1.59408808182178,Array
Hs.654391,E-GEOD-2361,TP_Amygdala_U133A,UNSPECIFIED,BRAIN,UNSPECIFIED,UNSPECIFIED,17,76,56.6,1961347.92400001,2.88577051054608E-05,1.30155965222766,Array
Hs.654391,E-GEOD-2361,TP_Bladder_U133A,MALE,BLADDER,UNSPECIFIED,UNSPECIFIED,28,28,47.1,2136206.91869999,2.20484259215222E-05,0.994442956212526,Array
Hs.654391,E-GEOD-2361,TP_BoneMarrow_U133A,UNSPECIFIED,BONE MARROW,UNSPECIFIED,UNSPECIFIED,22,65,81.3,2659453.41609999,3.05701914189661E-05,1.37879736335212,Array
Hs.654391,E-GEOD-2361,TP_Brain_U133A,MALE,BRAIN,UNSPECIFIED,UNSPECIFIED,28,28,38.5,2091664.3211,1.84063951426742E-05,0.830177631004014,Array
Hs.654391,E-GEOD-2361,TP_Breast_U133A,FEMALE,BREAST,UNSPECIFIED,UNSPECIFIED,44,44,42.1,2209880.81579999,1.90508011558802E-05,0.859242065039107,Array
Hs.654391,E-GEOD-2361,TP_Caudate_U133A,UNSPECIFIED,BRAIN,UNSPECIFIED,UNSPECIFIED,18,78,29.5,2002001.54190001,1.47352533864699E-05,0.664599322887629,Array
Hs.654391,E-GEOD-2361,TP_Cerebellum_U133A,MALE,BRAIN,UNSPECIFIED,UNSPECIFIED,25,25,40.6,2120906.554,1.91427575738445E-05,0.863389545337638,Array
Hs.654391,E-GEOD-2361,TP_Colon_U133A,FEMALE,COLON,UNSPECIFIED,UNSPECIFIED,34,34,96.9,2266795.61310001,4.2747568170684E-05,1.92802961144976,Array
