ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Mechanism,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,R Dose correction factor,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Description,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake
50,Ahonen 1995,http://www.ncbi.nlm.nih.gov/pubmed/8527290,with Perpetrator (Itraconazole),Midazolam,Itraconazole,PO,PO,Reversible_Inhibition,Plasma,5.745098039,Approx. Avg,,,2.558823529,Approx. Avg,,,0,inf,74,inf,h,,,100,,mg,PO,"(S-0,T-24,R-4)",h,MD OD (4 days),OD,,Sporanox,,,Sporanox Janssen,,,,
54,Backman 1996,https://www.ncbi.nlm.nih.gov/pubmed/8549036,with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.041,Arith.mean,,,0.061818182,Approx. CmaxR,,,0,inf,113,inf,h,1,,600,,mg,PO,0-24-48-72-96,h,MD OD (5 days),,,"300 mg capsules, Rimapen Orion",,,,,,,
56,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase IV (during Perpetrator (Rifampicin)),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.023,arith. mean,0.006,Arith. SEM,0.054,Arith. Mean,0.012,Arith. SEM,0,inf,113,185,h,1,,600,,mg,PO,0-24-48-72-96,h,MD OD (5 days),,,"300 mg capsules, Rimapen Orion",,,,Fasted,,,
57,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase V (4 days after Perpetrator (Rifampicin)),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.132,arith. mean,0.028,Arith. SEM,0.202,Arith. Mean,0.042,Arith. SEM,0,inf,185,inf,h,1,,600,,mg,PO,0-24-48-72-96,h,MD OD (5 days),,,"300 mg capsules, Rimapen Orion",,,,Fasted,,,
58,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase II (during Perpetrator (Itraconazole)),Midazolam,Itraconazole,PO,PO,Reversible_Inhibition,Plasma,7.97,arith. mean,1.14,Arith. SEM,3.12,Arith. Mean,0.37,Arith. SEM,0,inf,74,170,h,1,Cave! Different dose treatment vs control. Ratios are dose-corrected.,200,,mg,PO,0-24-48-72,h,MD OD (4 days),,,Sporanox 100-mg capsule,,,,Fasted,,,
59,Backman 1998,https://www.ncbi.nlm.nih.gov/pubmed/9591931,Phase III (4 days after Perpetrator (Itraconazole)),Midazolam,Itraconazole,PO,PO,Reversible_Inhibition,Plasma,2.63,arith. mean,0.4,Arith. SEM,1.92,Arith. Mean,0.31,Arith. SEM,0,inf,170,inf,h,1,Cave! Different dose treatment vs control. Ratios are dose-corrected.,200,,mg,PO,0-24-48-72,h,MD OD (4 days),,,Sporanox 100-mg capsule,,,,Fasted,,,
113,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.124489796,Approx. Avg,,,0.169565217,Approx. CmaxR,,,0,inf,166,inf,h,1,,600,,mg,PO,S0-T24-R9,h,MD OD (9 days),,300-mg capsules (UDL),,,,2x 300 mg capsules,,,,
114,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Ketoconazole),Midazolam,Ketoconazole,PO,PO,Reversible_Inhibition,Plasma,9.510204082,Approx. Avg,,,2.391304348,Approx. CmaxR,,,0,inf,118,inf,h,,,400,,mg,PO,"(S-0,T-24,R-10)",h,MD OD (10 days),,200-mg tablets (Taro),,,,2x 200 mg tablets,,,,
116,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Rifampicin),Simvastatin,Rifampicin,PO,PO,Induction,Plasma,0.089655172,Approx. Avg,,,0.148648649,Approx. CmaxR,,,0,inf,190,inf,h,1,,600,,mg,PO,S0-T24-R9,h,MD OD (9 days),,300-mg capsules (UDL),,,,2x 300 mg capsules,,,,
117,Chung 2006,https://www.ncbi.nlm.nih.gov/pubmed/16580903,with Perpetrator (Ketoconazole),Simvastatin,Ketoconazole,PO,PO,Reversible_Inhibition,Plasma,12.55172414,Approx. Avg,,,7.432432432,Approx. CmaxR,,,0,inf,190,inf,h,,,400,,mg,PO,"(S-0,T-24,R-10)",h,MD OD (10 days),,200-mg tablets (Taro),,,,2x 200 mg tablets,,,,
129,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,0.075 mg with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.441176471,Approx. Avg,,,0.225806452,Approx. Avg,,,0,inf,90,114,h,1,,450,,mg,PO,S0-T24-R5,h,MD OD (5 days),QD,,,,,,,,,
130,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,0.075 mg with Perpetrator (Ketoconazole),Midazolam,Ketoconazole,PO,PO,Reversible_Inhibition,Plasma,6.470588235,Approx. Avg,,,3.741935484,Approx. Avg,,,0,inf,48,inf,h,,,200,,mg,PO,0-12-24-36,h,MD BID (2 days),BID,,,,,,,,,
132,Eap 2004,https://www.ncbi.nlm.nih.gov/pubmed/15114429,7.5 mg with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.052238806,Approx. Avg,,,0.111538462,Approx. Avg,,,0,inf,114,inf,h,1,,450,,mg,PO,S0-T24-R5,h,MD OD (5 days),QD,,,,,,,,,
173,Gorski 1998,https://www.ncbi.nlm.nih.gov/pubmed/9728893,po with Perpetrator (Clarithromycin),Midazolam,Clarithromycin,PO,PO,Mechanism_based_Inactivation,Whole Blood,7.142857143,Approx. Avg,,,,,,,0,inf,146,inf,h,,from CL (L/hr/kg),500,,mg,PO,0-(S12-T12-R13),h,MD BID (7 days),MD,,pill,,,,,,,
175,Gorski 1998,https://www.ncbi.nlm.nih.gov/pubmed/9728893,iv with Perpetrator (Clarithromycin),Midazolam,Clarithromycin,IV,PO,Mechanism_based_Inactivation,Whole Blood,2.666666667,Approx. Avg,,,,,,,0,inf,146,inf,h,,from CL (L/hr/kg),500,,mg,PO,0-(S12-T12-R13),h,MD BID (7 days),MD,,pill,,,,,,,
177,Gorski 2003,https://www.ncbi.nlm.nih.gov/pubmed/12966371,po with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Induction,Whole Blood,0.103351955,Approx. Avg,,,0.100558659,arith. Mean,,,0,inf,132,inf,h,1.5,Cave! Different dose treatment vs control.,600,,mg,PO,S0-T24-R7,h,MD OD (7 days),MD,,"pill, INN, rifampicin",,,,,,,
179,Gorski 2003,https://www.ncbi.nlm.nih.gov/pubmed/12966371,iv with Perpetrator (Rifampicin),Midazolam,Rifampicin,IV,PO,Induction,Whole Blood,0.448979592,Approx. Avg,,,,,,,0,inf,132,inf,h,1,,600,,mg,PO,S0-T24-R7,h,MD OD (7 days),MD,,"pill, INN, rifampicin",,,,,,,
191,Greiner 1999,https://www.ncbi.nlm.nih.gov/pubmed/10411543,po with Perpetrator (Rifampicin),Digoxin,Rifampicin,PO,PO,Induction,Plasma,0.697080292,Approx. Avg,,,0.481481481,Approx. Avg,,,0,144,240,384,h,1,,600,,mg,PO,S0-T24-R16,h,MD OD (16 days),MD,rifampin,RIFA Grünenthal GmbH,,,,,,,
193,Greiner 1999,https://www.ncbi.nlm.nih.gov/pubmed/10411543,iv with Perpetrator (Rifampicin),Digoxin,Rifampicin,IV,PO,Induction,Plasma,0.853379152,Approx. Avg,,,0.834008097,Approx. Avg,,,0,144,240,384,h,1,,600,,mg,PO,S0-T24-R16,h,MD OD (16 days),MD,rifampin,RIFA Grünenthal GmbH,,,,,,,
215,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.057160804,Approx. Avg,,,0.120915033,arith. Mean,,,0,inf,146,inf,h,1,,300,,mg,PO,S0-T12-R14,h,MD BID (7 days),MD,Rifampin,"300mg, Rifadin®, Aventis Pharmaceuticals",,,twice daily,,,,
217,Gurley 2006,https://www.ncbi.nlm.nih.gov/pubmed/16432272,with Perpetrator (Clarithomycin),Midazolam,Clarithromycin,PO,PO,Mechanism_based_Inactivation,Plasma,8.39285714,Approx. Avg,,,3.795597484,arith. Mean,,,0,inf,146,inf,h,,,500,,mg,PO,"(S-0,T-12,R-14)",h,MD BID (7 days),MD,clarithromycin,"500 mg, Biaxin®, Abbott Laboratories",,,twice daily,,,,
221,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,with Perpetrator (Rifampicin),Midazolam,Rifampicin,PO,PO,Induction,Plasma,0.06031746,Approx. Avg,,,0.107623318,arith. Mean,,,0,inf,146,inf,h,1,,300,,mg,PO,S0-T12-R14,h,MD BID (7 days),MD,Rifampin,"300mg, Rifadin®, Aventis Pharmaceuticals",,,twice daily,,,,
223,Gurley 2008a,https://www.ncbi.nlm.nih.gov/pubmed/17495878,with Perpetrator (Clarithomycin),Midazolam,Clarithromycin,PO,PO,Mechanism_based_Inactivation,Plasma,5.4833984,Approx. Avg,,,2.174329502,arith. Mean,,,0,inf,146,inf,h,,,500,,mg,PO,"(S-0,T-12,R-14)",h,MD BID (7 days),MD,clarithromycin,"500 mg, Biaxin®, Abbott Laboratories",,,twice daily,,,,
227,Gurley 2008b,https://www.ncbi.nlm.nih.gov/pubmed/18214850,with Perpetrator (Rifampicin),Digoxin,Rifampicin,PO,PO,Induction,Serum,0.75308642,Approx. Avg,,,0.615384615,Approx. Avg,,,0,24,146,170,h,1,,300,,mg,PO,S0-T12-R12,h,MD BID (7 days),MD,Rifampin,"Rifadin®, Aventis Pharmaceuticals",,,twice daily,,,,
229,Gurley 2008b,https://www.ncbi.nlm.nih.gov/pubmed/18214850,with Perpetrator (Clarithomycin),Digoxin,Clarithromycin,PO,PO,Mechanism_based_Inactivation,Serum,1.465753425,Approx. Avg,,,1.75,Approx. Avg,,,0,24,146,170,h,1,,500,,mg,PO,S0-T12-R14,h,MD BID (7 days),MD,clarithromycin,"Biaxin®, Abbott Laboratories",,,twice daily,,,,
271,Jalava 1997,https://www.ncbi.nlm.nih.gov/pubmed/9421099,po with Perpetrator (Itraconazole),Digoxin,Itraconazole,PO,PO,Reversible_Inhibition,Serum,1.68,arith. Mean,,,1.34,arith. Mean,,,0,inf,49,inf,h,1,,200,,mg,PO,0-24-48-72-96,h,MD OD (5 days),,,"Sporanox 100-mg caps, Janssen Pharmaceuticals, Beerse, Belgium",,120,,,,,
276,Kharasch 1997,https://www.ncbi.nlm.nih.gov/pubmed/9232132,with Perpetrator (Rifampicin),Midazolam,Rifampicin,IV,PO,Induction,Plasma,0.379310345,Approx. Avg,,,,,,,0,inf,120,inf,h,1,AUCR estimated from CL ratio,600,,mg,PO,0-24-48-72-96,h,MD OD (5 days),MD,,,,,,,,,
278,Kharasch 1997,https://www.ncbi.nlm.nih.gov/pubmed/9232132,with Perpetrator (Rifampicin),Alfentanil,Rifampicin,IV,PO,Induction,Plasma,0.363013699,Approx. Avg,,,,,,,0,inf,120.5,inf,h,1,AUCR estimated from CL ratio,600,,mg,PO,0-24-48-72-96,h,MD OD (5 days),MD,,,,,,,,,
